id,app,name,applied
1,contenttypes,0001_initial,2026-02-15 09:11:59.365377+00
2,auth,0001_initial,2026-02-15 09:12:00.655987+00
3,admin,0001_initial,2026-02-15 09:12:00.929003+00
4,admin,0002_logentry_remove_auto_add,2026-02-15 09:12:00.97711+00
5,admin,0003_logentry_add_action_flag_choices,2026-02-15 09:12:01.049761+00
6,contenttypes,0002_remove_content_type_name,2026-02-15 09:12:01.218296+00
7,auth,0002_alter_permission_name_max_length,2026-02-15 09:12:01.319159+00
8,auth,0003_alter_user_email_max_length,2026-02-15 09:12:01.440509+00
9,auth,0004_alter_user_username_opts,2026-02-15 09:12:01.525027+00
10,auth,0005_alter_user_last_login_null,2026-02-15 09:12:01.670935+00
11,auth,0006_require_contenttypes_0002,2026-02-15 09:12:01.719675+00
12,auth,0007_alter_validators_add_error_messages,2026-02-15 09:12:01.807795+00
13,auth,0008_alter_user_username_max_length,2026-02-15 09:12:01.941065+00
14,auth,0009_alter_user_last_name_max_length,2026-02-15 09:12:02.085858+00
15,auth,0010_alter_group_name_max_length,2026-02-15 09:12:02.189246+00
16,auth,0011_update_proxy_permissions,2026-02-15 09:12:02.246346+00
17,auth,0012_alter_user_first_name_max_length,2026-02-15 09:12:02.394351+00
18,core,0001_initial,2026-02-15 09:12:03.196692+00
19,core,0002_employee_role_employee_user,2026-02-15 09:12:03.377501+00
20,sessions,0001_initial,2026-02-15 09:12:03.58561+00
21,token_blacklist,0001_initial,2026-02-15 09:12:03.879965+00
22,token_blacklist,0002_outstandingtoken_jti_hex,2026-02-15 09:12:03.985712+00
23,token_blacklist,0003_auto_20171017_2007,2026-02-15 09:12:04.144204+00
24,token_blacklist,0004_auto_20171017_2013,2026-02-15 09:12:04.302283+00
25,token_blacklist,0005_remove_outstandingtoken_jti,2026-02-15 09:12:04.400182+00
26,token_blacklist,0006_auto_20171017_2113,2026-02-15 09:12:04.623888+00
27,token_blacklist,0007_auto_20171017_2214,2026-02-15 09:12:04.967519+00
28,token_blacklist,0008_migrate_to_bigautofield,2026-02-15 09:12:05.524677+00
29,token_blacklist,0010_fix_migrate_to_bigautofield,2026-02-15 09:12:05.63809+00
30,token_blacklist,0011_linearizes_history,2026-02-15 09:12:05.71965+00
31,token_blacklist,0012_alter_outstandingtoken_user,2026-02-15 09:12:05.820098+00
32,token_blacklist,0013_alter_blacklistedtoken_options_and_more,2026-02-15 09:12:05.927847+00
33,core,0003_alter_interaction_options_and_more,2026-02-15 10:58:43.384542+00
34,core,0004_alter_sale_options_remove_sale_client_and_more,2026-02-15 12:28:47.728667+00
35,core,0005_reminder,2026-02-15 16:09:19.841193+00
